"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"River Basin","Tributory/River","Gauging Station","WaterLevel at11:00 pm","WaterLevel at12:00midnight","Remarks","WaterLevelRising orFalling","15 Hr RFin mm at12.00midnight","","","","","","",""
"","","Station","Unit","AlertLevel","MinorFloodLevel","MajorFloodLevel","","","","","","","",""
"","Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","1.80","2.00","Normal","","-","","",""
"","Kelani Ganga","Hanwella","m","7.00","8.00","10.00","2.68","2.73","Normal","","","","23.6",""
"","Kelani Ganga","Glencourse","m","15.00","16.50","19.00","11.10","11.18","Normal","","","","45.3",""
"Kelani Ganga(RB 01)","Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","1.83","1.90","Normal","","","","7.7",""
"","Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","2.11","2.71","Normal","","","8",".8",""
"","Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","1.08","1.26","Normal","","","","9.8",""
"","Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","1.41","1.55","Alert","Rising","","","42.6",""
"Kalu Ganga(RB 03)","Kalu Ganga","Putupaula","m","3.00","4.00","5.00","1.60","1.60","Normal","","","3.8","",""
"","Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","6.51","6.50","Normal","","","","19.0",""
"","Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","2.70","2.78","Normal","","","","16.5",""
"","Maguru Ganga","Magura","m","4.00","6.00","7.50","2.81","2.88","Normal","","","","13.6",""
"","Kuda Ganga","Kalawellawa(Millakanda)","m","5.00","6.50","8.00","4.81","4.80","Normal","","","","8.9",""
"Gin Ganga","Gin Ganga","Baddegama","m","3.50","4.00","5.00","3.37","3.36","Normal","","","5.2","",""
"(RB 09)","Gin Ganga","Thawalama","m","4.00","6.00","7.50","2.14","2.12","Normal","","","5.9","",""
"Nilwala Ganga(RB 12)","Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","1.58","1.58","Alert","","","","2.4",""
"","Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","4.84","4.96","Normal","","","","49.9",""
"","Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","2.57","2.77","Normal","","","","37.8",""
"","Urubokka Ganga","Urawa","m","2.50","4.00","6.00","2.84","2.72","Alert","Falling","","8",".1",""
"Walawe Ganga(RB 18)","Walawe Ganga","Moraketiya","m","3.00","5.00","7.00","1.20","1.20","Normal","","","1.2","",""
"Kirindi Oya(RB 22)","Kirindi Oya","Thanamalwila","m","4.00","5.00","5.50","2.60","2.65","Normal","","","","11.6",""
"","Kirindi Oya","Wellawaya","m","4.40","5.40","5.90","2.04","1.98","Normal","","","","26.9",""
"","Kuda Oya","Kuda Oya","m","6.90","8.40","8.80","2.45","2.50","Normal","","","","11.5",""
"Menik Ganga(RB 26)","Menik Ganga","Katharagama","m","4.00","4.60","6.50","2.65","2.63","Normal","","","","29.2",""
"Kumbukkan Oya(RB 31)","Kumbukkan Oya","Nakkala","m","5.00","6.00","7.50","4.66","4.36","Normal","","","7",".3",""
"Heda Oya(RB 36)","Heda Oya","Siyambalanduwa","m","4.50","6.00","7.00","5.52","5.03","Alert","Falling","","8",".9",""
"Maduru Oya(RB 54)","Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","5.61","5.70","Minor Flood","Rising","","104","1",""
"","Mahaweli Ganga","Manampitiya","m","3.00","4.30","6.00","5.10","5.15","Minor Flood","Rising","","168.0","",""
"","Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","3.62","3.70","Normal","","","135.4","",""
"Mahaweli Ganga(RB 60)","Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","6.20","6.67","Alert","Rising","","117.","",""
"","Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","2.20","2.80","Normal","","","7",".9",""
"","Badulu Oya","Thaldena","m","3.00","4.00","5.00","2.95","2.75","Normal","","","114.","",""
"Yan Oya(RB 67)","Yan Oya","Horowpothana","m","6.00","7.50","10.50","7.56","7.58","Minor Flood","Rising","","7",".2",""
"Maa Oya (RB 69)","Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","5.23","5.16","Minor Flood","Falling","","140.8","",""
"Malwathu Oya(RB 90)","Malwathu Oya","Thanthirimale","m","5.00","6.80","7.80","5.62","5.70","Alert","Rising","","94","5",""
"Deduru Oya(RB 99)","Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","4.53","4.78","Alert","Rising","","","51.8",""
"Maha Oya(RB 102)","Maha Oya","Badalgama","m","5.00","6.20","9.60","4.22","4.30","Normal","","","","43.9",""
"","Maha Oya","Giriulla","m","5.50","6.50","7.50","3.95","4.02","Normal","","","","6.8",""
"Attanagalu Oya(RB 103)","Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","2.53","2.56","Normal","","","","42.9",""
