"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"River Basin","Tributory/River","Gauging Station","WaterLevel at2:00 am","WaterLevel at3:00 am","Remarks","WaterLevelRising orFalling","18 Hr RFin mm at3.00 am","","","","","","","",""
"","","Station","Unit","AlertLevel","MinorFloodLevel","MajorFloodLevel","","","","","","","","",""
"","Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","4.40","4.90","Alert","Rising","-","","","",""
"","Kelani Ganga","Hanwella","m","7.00","8.00","10.00","7.30","7.48","Alert","Rising","","","87.5","",""
"","","","","","","","","","","","","","","",""
"","Kelani Ganga","Glencourse","m","15.00","16.50","19.00","16.98","17.30","Minor Flood","Rising","","13",".7","",""
"Kelani Ganga(RB 01)","","","","","","","","","","","","","","",""
"","Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","6.18","6.18","Major Flood","","","227.0","","",""
"","","","","","","","","","","","","","","",""
"","Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","6.91","7.14","Major Flood","Rising","","161","2","",""
"","","","","","","","","","","","","","","",""
"","Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","7.40","7.56","Major Flood","Rising","","235.9","","",""
"","","","","","","","","","","","","","","",""
"","Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","3.75","3.60","Minor Flood","Falling","","161","3","",""
"","","","","","","","","","","","","","","",""
"Kalu Ganga(RB 03)","Kalu Ganga","Putupaula","m","3.00","4.00","5.00","1.93","1.98","Normal","","","","23.7","",""
"","","","","","","","","","","","","","","",""
"","Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","8.50","8.66","Normal","","","","04.6","",""
"","","","","","","","","","","","","","","",""
"","Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","7.18","1.40","Normal","","","1","2.3","",""
"","","","","","","","","","","","","","","",""
"","Maguru Ganga","Magura","m","4.00","6.00","7.50","3.67","3.73","Normal","","","","73.4","",""
"","","","","","","","","","","","","","","",""
"","Kuda Ganga","Kalawellawa (Millakanda)","m","5.00","6.50","8.00","5.50","5.60","Alert","Rising","","","67.1","",""
"","","","","","","","","","","","","","","",""
"Gin Ganga","Gin Ganga","Baddegama","m","3.50","4.00","5.00","3.02","3.01","Normal","","","","10.6","",""
"(RB 09)","","","","","","","","","","","","","","",""
"","Gin Ganga","Thawalama","m","4.00","6.00","7.50","2.85","2.85","Normal","","","","23.8","",""
"","","","","","","","","","","","","","","",""
"Nilwala Ganga(RB 12)","Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","1.70","1.70","Minor Flood","","","2.3","","",""
"","","","","","","","","","","","","","","",""
"","Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","5.16","5.13","Alert","Falling","","8.8","","",""
"","","","","","","","","","","","","","","",""
"","Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","1.97","1.94","Normal","","","","13.5","",""
"","","","","","","","","","","","","","","",""
"","Urubokka Ganga","Urawa","m","2.50","4.00","6.00","1.45","1.43","Normal","","","","14.4","",""
"","","","","","","","","","","","","","","",""
"Walawe Ganga(RB 18)","Walawe Ganga","Moraketiya","m","3.00","5.00","7.00","4.10","4.12","Alert","Rising","","","36.6","",""
"","","","","","","","","","","","","","","",""
"Kirindi Oya(RB 22)","Kirindi Oya","Thanamalwila","m","4.00","5.00","5.50","5.12","5.04","Minor Flood","Falling","","","30.1","",""
"","","","","","","","","","","","","","","",""
"","Kirindi Oya","Wellawaya","m","4.40","5.40","5.90","2.98","2.72","Normal","","","","51.8","",""
"","","","","","","","","","","","","","","",""
