"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"","","","Gauging Station","","","","","","Water",""
"","","","","","","Water","Water","","","9 Hr RF in"
"","","","","Minor","Major","","","","Level",""
"River Basin Tributory/River","","","Alert","","","Level at","Level at","Remarks","","mm at 6.00"
"","","Station","Unit","Flood","Flood","","","","Rising or",""
"","","","Level","","","5:00 pm","6:00 pm","","","pm"
"","","","","Level","Level","","","","Falling",""
"Kelani Ganga","","Nagalagam Street","ft 4.00","5.00","7.00","2.30","2.20","Normal","","-"
"Kelani Ganga","","Hanwella","m 7.00","8.00","10.00","2.42","2.38","Normal","","0.5"
"Kelani Ganga","","Glencourse","m 15.00","16.50","19.00","10.33","10.30","Normal","","2.0"
"Kelani Ganga","","","","","","","","","",""
"Kelani Ganga","","Kithulgala","m 3.00","4.00","6.00","1.85","1.78","Normal","","5.0"
"(RB 01)","","","","","","","","","",""
"Gurugoda Oya","","Holombuwa","m 3.00","3.40","5.00","0.99","0.99","Normal","","0.9"
"Seethawaka Ganga","","Deraniyagala","m 4.80","5.80","6.40","0.85","0.85","Normal","","3.8"
"Kehelgamu Oya","","Norwood","m 1.50","3.00","4.50","1.14","1.14","Normal","","2.6"
"Kalu Ganga","","Putupaula","m 3.00","4.00","5.00","1.96","1.97","Normal","","0.5"
"Kalu Ganga","","Ellagawa","m 10.00","10.70","12.20","7.66","7.64","Normal","","2.6"
"Kalu Ganga","","","","","","","","","",""
"Kalu Ganga","","Rathnapura","m 5.20","7.50","9.50","3.90","3.81","Normal","","3.3"
"(RB 03)","","","","","","","","","",""
"Maguru Ganga","","Magura","m 4.00","6.00","7.50","2.66","3.03","Normal","","32.8"
"Kuda Ganga","","Kalawellawa (Millakanda)","m 5.00","6.50","8.00","5.06","4.99","Normal","","0.6"
"Gin Ganga","","Baddegama","m 3.50","4.00","5.00","3.36","3.36","Normal","","24.1"
"Gin Ganga","","","","","","","","","",""
"(RB 09)","","","","","","","","","",""
"Gin Ganga","","Thawalama","m 4.00","6.00","7.50","2.35","2.51","Normal","","39.5"
"Nilwala Ganga","","Thalgahagoda","m 1.40","1.70","2.80","1.49","1.49","Alert","","1.2"
"Nilwala Ganga","","Panadugama","m 5.00","6.00","7.50","4.65","4.62","Normal","","3.8"
"Nilwala Ganga","","","","","","","","","",""
"(RB 12)","","","","","","","","","",""
"Nilwala Ganga","","Pitabeddara","m 4.00","5.00","6.50","1.63","1.68","Normal","","9.2"
"Urubokka Ganga","","Urawa","m 2.50","4.00","6.00","0.99","0.99","Normal","","1.2"
"Walawe Ganga","","","","","","","","","",""
"Walawe Ganga","","Moraketiya","m 3.00","5.00","7.00","1.28","1.25","Normal","","0.0"
"(RB 18)","","","","","","","","","",""
