"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"River Basin","Tributory/River","Gauging Station","WaterLevel at8:00 am","WaterLevel at9:00 am","Remarks","WaterLevelRising orFalling","24 Hr RFin mm at8.30 am","","","","","","","",""
"","","Station","Unit","AlertLevel","MinorFloodLevel","MajorFloodLevel","","","","","","","","",""
"","Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","5.70","5.70","Minor Flood","","-","","","",""
"","Kelani Ganga","Hanwella","m","7.00","8.00","10.00","8.37","8.59","Minor Flood","Rising","","19",".8","",""
"","","","","","","","","","","","","","","",""
"","Kelani Ganga","Glencourse","m","15.00","16.50","19.00","18.92","19.27","Major Flood","Rising","","215","1","",""
"Kelani Ganga(RB 01)","","","","","","","","","","","","","","",""
"","Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","5.10","5.05","Minor Flood","Falling","","231.","","",""
"","","","","","","","","","","","","","","",""
"","Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","6.57","6.23","Major Flood","Falling","","1","0.4","",""
"","","","","","","","","","","","","","","",""
"","Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","6.99","7.09","Major Flood","Rising","","251.","","",""
"","","","","","","","","","","","","","","",""
"","Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","2.64","2.54","Alert","Falling","","1","0.6","",""
"","","","","","","","","","","","","","","",""
"Kalu Ganga(RB 03)","Kalu Ganga","Putupaula","m","3.00","4.00","5.00","2.19","2.25","Normal","","","","29.4","",""
"","","","","","","","","","","","","","","",""
"","Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","9.82","10.05","Alert","Rising","","212","0","",""
"","","","","","","","","","","","","","","",""
"","Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","8.60","8.85","Minor Flood","Rising","","19",".1","",""
"","","","","","","","","","","","","","","",""
"","Maguru Ganga","Magura","m","4.00","6.00","7.50","4.84","4.98","Alert","Rising","","1","8.0","",""
"","","","","","","","","","","","","","","",""
"","Kuda Ganga","Kalawellawa (Millakanda)","m","5.00","6.50","8.00","6.28","6.41","Alert","Rising","","","32.0","",""
"","","","","","","","","","","","","","","",""
"Gin Ganga","Gin Ganga","Baddegama","m","3.50","4.00","5.00","3.03","3.03","Normal","","","12.3","","",""
"(RB 09)","","","","","","","","","","","","","","",""
"","Gin Ganga","Thawalama","m","4.00","6.00","7.50","3.80","3.96","Normal","","","","41.0","",""
"","","","","","","","","","","","","","","",""
"Nilwala Ganga(RB 12)","Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","1.68","1.68","Alert","","","4.9","","",""
"","","","","","","","","","","","","","","",""
