"V1","V2","V3","V4","V5","V6","V7"
"Castlereigh(CEB)","73.5","Buttala Bridge (HMIS)","NA","Usgala Siyamabalangamuwa (HMIS)","NA",NA
"Norton(CEB)","79.5","","","Rajanganaya (Res) (HMIS)","NA",NA
"Maussakelle(CEB)","67.0","Gal Oya (RB 44)","","Kalawewa (Res) (HMIS)","NA",NA
"Canyon(CEB)","78.6","","","Dambulu Oya(Res) (HMIS)","NA",NA
"Laxapana(CEB)","69.6","Ampara","96.9","Kandalama (Res) (HMIS)","NA",NA
"Colombo","55.5","Senanayaka Samu.(Res)(HMIS)","NA","Dambulu Oya River (HMIS)","NA",NA
"Laxapana(CEB)","69.6","Ampara","96.9","Kandalama (Res) (HMIS)","NA",NA
"Colombo","55.5","Senanayaka Samu.(Res)(HMIS)","NA","Dambulu Oya River (HMIS)","NA",NA
"","","Bibile (HMIS)","NA","","",NA
"Bolgoda Ganga (RB 02)","","Inginiyagala(CEB)","163.5","Daduru Oya (RB 99)","",NA
"Bolgoda Lake(HMIS)","NA","Mahaweli Ganga Basin (RB 60)","","Masspotha","NA",NA
"","","","","Amunugama","251.5",NA
"Kalu Ganga (RB 03)","","Kotmale(CEB)","91.0","Ethiliyagala","189.3",NA
"","","Victoria(CEB)","200.0","Ma Eliya","116.3",NA
"Kukulegama(CEB)","43.0","Randenigala(CEB)","200.0","Daisy Valley","151.2",NA
"Halwathura (HMIS)","NA","Rantembe(CEB)","267.0","Diniminiyathanna","60.2",NA
"Anguruwathota (HMIS)","NA","Bowatenna(CEB)","230.4","Moragaswewa (HMIS)","NA",NA
"Dela (HMIS)","NA","Ukuwela(CEB)","145.0","Nugawela (HMIS)","NA",NA
"Kalu Ganga (RB 03)","","Kotmale(CEB)","91.0","Ethiliyagala","189.3",NA
"","","Victoria(CEB)","200.0","Ma Eliya","116.3",NA
"Kukulegama(CEB)","43.0","Randenigala(CEB)","200.0","Daisy Valley","151.2",NA
"Halwathura (HMIS)","NA","Rantembe(CEB)","267.0","Diniminiyathanna","60.2",NA
"Anguruwathota (HMIS)","NA","Bowatenna(CEB)","230.4","Moragaswewa (HMIS)","NA",NA
"Dela (HMIS)","NA","Ukuwela(CEB)","145.0","Nugawela (HMIS)","NA",NA
"Magura (Baduraliya) (HMIS)","NA","U.Kothmale(CEB)","76.6","","",NA
"Malwala (HMIS)","NA","Angamedilla (HMIS)","NA","Maa Oya (RB 102)","",NA
"Banagoda (HMIS)","NA","Hembarewa (HMIS)","NA","","",NA
"Watapotha (HMIS)","NA","Calsey Maeliya (HMIS)","NA","Molagoda (HMIS)","NA",NA
"Paragoda (HMIS)","NA","Ulhitiya (Res) (HMIS)","NA","Hatharaliyadde (HMIS)","NA",NA
"","","Girithale(Res) (HMIS)","NA","Aranayake (HMIS)","NA",NA
"Benthara Ganga (RB 04)","","Parakrama Samu.(Res) (HMIS)","NA","Bolagama Bridge (HMIS)","NA",NA
"","","Minneriya(Res) (HMIS)","NA","","",NA
