"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"","","","Gauging Station","","","","","Water",""
"","","","","","Water","Water","","","24 Hr RF"
"","","","Minor","Major","","","","Level",""
"River Basin","Tributory/River","","Alert","","Level at","Level at","Remarks","","in mm at"
"","","Station","Unit Flood","Flood","","","","Rising or",""
"","","","Level","","8:00 am","9:00 am","","","8.30 am"
"","","","Level","Level","","","","Falling",""
"","Kelani Ganga","Nagalagam Street","ft 4.00 5.00","7.00","2.40","2.20","Normal","","-"
"","Kelani Ganga","Hanwella","m 7.00 8.00","10.00","4.34","4.64","Normal","","48.2"
"","Kelani Ganga","Glencourse","m 15.00 16.50","19.00","13.87","14.09","Normal","","61.9"
"Kelani Ganga","","","","","","","","",""
"","Kelani Ganga","Kithulgala","m 3.00 4.00","6.00","2.19","2.19","Normal","","93.3"
"(RB 01)","","","","","","","","",""
"","Gurugoda Oya","Holombuwa","m 3.00 3.40","5.00","4.37","4.26","Minor Flood","Falling","121.9"
"","Seethawaka Ganga","Deraniyagala","m 4.80 5.80","6.40","2.35","2.30","Normal","","116.5"
"","Kehelgamu Oya","Norwood","m 1.50 3.00","4.50","1.94","2.20","Alert","Rising","92.0"
"","Kalu Ganga","Putupaula","m 3.00 4.00","5.00","1.54","1.53","Normal","","10.3"
"","Kalu Ganga","Ellagawa","m 10.00 10.70","12.20","6.73","6.84","Normal","","51.5"
"Kalu Ganga","","","","","","","","",""
"","Kalu Ganga","Rathnapura","m 5.20 7.50","9.50","3.75","3.94","Normal","","50.7"
"(RB 03)","","","","","","","","",""
"","Maguru Ganga","Magura","m 4.00 6.00","7.50","2.91","2.96","Normal","","43.2"
"","Kuda Ganga","Kalawellawa (Millakanda)","m 5.00 6.50","8.00","4.57","4.57","Normal","","39.0"
"32.9Gin Ganga","Gin Ganga","Baddegama","m 3.50 4.00","5.00","3.13","3.11","Normal","",""
"(RB 09)","","","","","","","","",""
"","Gin Ganga","Thawalama","m 4.00 6.00","7.50","2.43","2.43","Normal","","19.3"
"","Nilwala Ganga","Thalgahagoda","m 1.40 1.70","2.80","1.65","1.67","Alert","Rising","76.4"
"57.3Nilwala Ganga","Nilwala Ganga","Panadugama","m 5.00 6.00","7.50","5.59","5.58","Alert","Falling",""
"(RB 12)","","","","","","","","",""
"","Nilwala Ganga","Pitabeddara","m 4.00 5.00","6.50","2.52","2.43","Normal","","44.6"
"","Urubokka Ganga","Urawa","m 2.50 4.00","6.00","1.49","1.48","Normal","","94.2"
"Walawe Ganga","","","","","","","","",""
"","Walawe Ganga","Moraketiya","m 3.00 5.00","7.00","1.75","1.75","Normal","","42.0"
"(RB 18)","","","","","","","","",""
"","Kirindi Oya","Thanamalwila","m 4.00 5.00","5.50","5.12","5.42","Minor Flood","Rising","119.7"
"Kirindi Oya","","","","","","","","",""
"","Kirindi Oya","Wellawaya","m 4.40 5.40","5.90","3.07","3.18","Normal","","139.7"
"(RB 22)","","","","","","","","",""
"","Kuda Oya","Kuda Oya","m 6.90 8.40","8.80","5.45","5.55","Normal","","94.4"
"Menik Ganga (RB","","","","","","","","",""
"","Menik Ganga","Katharagama","m 4.00 4.60","6.50","4.54","5.01","Minor Flood","Rising","37.9"
"26)","","","","","","","","",""
"Kumbukkan Oya","","","","","","","","",""
"","Kumbukkan Oya","Nakkala","m 5.00 6.00","7.50","6.82","6.62","Minor Flood","Falling","119.6"
"(RB 31)","","","","","","","","",""
"Heda Oya","","","","","","","","",""
"","Heda Oya","Siyambalanduwa","m 4.50 6.00","7.00","4.52","4.60","Alert","Rising","123.7"
"(RB 36)","","","","","","","","",""
"Maduru Oya","","","","","","","","",""
"","Maduru Oya","Padiyathalawa","m 4.00 4.50","6.00","5.10","5.15","Minor Flood","Rising","143.1"
"(RB 54)","","","","","","","","",""
"","Mahaweli Ganga","Manampitiya","m 3.00 4.30","6.00","5.35","5.35","Minor Flood","","224.6"
"","Mahaweli Ganga","Weraganthota","m 5.00 6.00","8.00","4.86","5.05","Alert","Rising","279.6"
"Mahaweli Ganga","","","","","","","","",""
"","Mahaweli Ganga","Peradeniya","m 5.00 7.00","9.00","7.63","7.90","Minor Flood","Rising","174.0"
"(RB 60)","","","","","","","","",""
"","Mahaweli Ganga","Nawalapitiya","m 3.50 5.00","6.00","3.54","4.00","Alert","Rising","143.6"
"","Badulu Oya","Thaldena","m 3.00 4.00","5.00","4.25","4.20","Minor Flood","Falling","217.8"
"Yan Oya","","","","","","","","",""
"","Yan Oya","Horowpothana","m 6.00 7.50","10.50","7.67","7.69","Minor Flood","Rising","166.8"
"(RB 67)","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","","Yaka Wewa","m 4.00 5.00","6.00","5.64","5.67","Minor Flood","Rising","243.2"
"Malwathu Oya","","","","","","","","",""
"","Malwathu Oya","Thanthirimale","m 5.00 6.80","7.80","7.60","7.84","Major Flood","Rising","208.2"
"(RB 90)","","","","","","","","",""
"Mee Oya","","","","","","","","",""
"","Mee Oya","Galgamuwa","m 4.84 5.94","8.00","4.62","4.81","Normal","","122.4"
"(RB 95)","","","","","","","","",""
"Deduru Oya","","","","","","","","",""
